Comment,Designator,Footprint,LCSC
SI5351A,U1,MSOP-10_3x3mm_P0.5mm,C1509083
1k,"R3,R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
OSCILLATOR,Y1,OSC-SMD_4P-L3.2-W2.5-BL_1XTV,C213404
100nF,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
